1;7;8;2;3;4;6;5;41;42;44;10;9;11;12;13;14;15;16;17;18;19;22;23;20;21;27;25;40;39;29;30;31;33;32;34;35;36;37;38
1657712360040;27.31;37.88;53.31;36.12;-2.12;-6.25;9.06;-83.92;-83.92;81.79;-2.49;-7.50;T;F;F;3500.00;23.00;28.50;24.00;F;F;F;F;F;F;4.00;1.00;0.00;4.00;T;3500.00;0.95;T;T;T;100.00;100.00;0.00;40.00
1657712360122;27.31;37.88;53.31;36.12;-2.12;-6.25;9.06;-83.92;-83.92;81.98;-2.50;-7.50;T;F;F;3500.00;23.00;28.50;24.00;F;F;F;F;F;F;4.00;1.00;0.00;4.00;T;3500.00;0.95;T;T;T;100.00;100.00;0.00;40.00
1657712360185;27.31;37.81;53.19;36.12;-1.94;-6.19;9.06;-83.92;-83.92;81.98;-2.50;-7.45;T;F;F;3500.00;23.00;28.50;24.00;F;F;F;F;F;F;4.00;1.00;0.00;4.00;T;3500.00;0.95;T;T;T;100.00;100.00;0.00;40.00
1657712360240;27.31;37.81;53.19;36.12;-1.94;-6.19;9.06;-83.92;-83.92;81.98;-2.49;-7.50;T;F;F;3500.00;23.00;28.50;24.00;F;F;F;F;F;F;4.00;1.00;0.00;4.00;T;3500.00;0.95;T;T;T;100.00;100.00;0.00;40.00
1657712360317;27.31;37.81;53.19;36.12;-1.94;-6.19;9.06;-83.92;-83.92;81.98;-2.49;-7.50;T;F;F;3500.00;23.00;28.50;24.00;F;F;F;F;F;F;4.00;1.00;0.00;4.00;T;3500.00;0.95;T;T;T;100.00;100.00;0.00;40.00
1657712360417;27.31;37.81;53.19;36.12;-1.94;-6.19;9.06;-83.92;-83.92;81.98;-2.48;-7.50;T;F;F;3500.00;23.00;28.50;24.00;F;F;F;F;F;F;4.00;1.00;0.00;4.00;T;3500.00;0.95;T;T;T;100.00;100.00;0.00;40.00
1657712360526;27.31;37.81;53.19;36.12;-1.94;-6.19;9.06;-83.92;-83.92;81.98;-2.50;-7.48;T;F;F;3500.00;23.00;28.50;24.00;F;F;F;F;F;F;4.00;1.00;0.00;4.00;T;3500.00;0.95;T;T;T;100.00;100.00;0.00;40.00
1657712360576;27.31;37.81;53.19;36.12;-1.94;-6.19;9.06;-83.92;-83.92;81.98;-2.50;-7.50;T;F;F;3500.00;23.00;28.50;24.00;F;F;F;F;F;F;4.00;1.00;0.00;4.00;T;3500.00;0.95;T;T;T;100.00;100.00;0.00;40.00
1657712360626;27.31;37.81;53.19;36.12;-1.94;-6.19;9.06;-83.92;-83.92;81.98;-2.50;-7.50;T;F;F;3500.00;23.00;28.50;24.00;F;F;F;F;F;F;4.00;1.00;0.00;4.00;T;3500.00;0.95;T;T;T;100.00;100.00;0.00;40.00
1657712360717;27.31;37.81;53.19;36.12;-1.94;-6.19;9.06;-83.92;-83.92;82.17;-2.49;-7.50;T;F;F;3500.00;23.00;28.50;24.00;F;F;F;F;F;F;4.00;1.00;0.00;4.00;T;3500.00;0.95;T;T;T;100.00;100.00;0.00;40.00
1657712360816;27.31;37.81;53.06;36.06;-1.75;-6.19;9.06;-83.92;-83.92;82.17;-2.49;-7.50;T;F;F;3500.00;23.00;28.50;24.00;F;F;F;F;F;F;4.00;1.00;0.00;4.00;T;3500.00;0.95;T;T;T;100.00;100.00;0.00;40.00
1657712360916;27.31;37.81;53.06;36.06;-1.75;-6.19;9.06;-83.92;-83.92;82.17;-2.50;-7.48;T;F;F;3500.00;23.00;28.50;24.00;F;F;F;F;F;F;4.00;1.00;0.00;4.00;T;3500.00;0.95;T;T;T;100.00;100.00;0.00;40.00
1657712361021;27.31;37.81;53.06;36.06;-1.75;-6.19;9.06;-83.92;-83.92;82.17;-2.50;-7.45;T;F;F;3500.00;23.00;28.50;24.00;F;F;F;F;F;F;4.00;1.00;0.00;4.00;T;3500.00;0.95;T;T;T;100.00;100.00;0.00;40.00
1657712361120;27.31;37.81;53.06;36.06;-1.75;-6.19;9.06;-83.92;-83.92;82.17;-2.49;-7.50;T;F;F;3500.00;23.00;28.50;24.00;F;F;F;F;F;F;4.00;1.00;0.00;4.00;T;3500.00;0.95;T;T;T;100.00;100.00;0.00;40.00
1657712361227;27.31;37.81;53.06;36.06;-1.75;-6.19;9.06;-83.92;-83.92;82.17;-2.50;-7.50;T;F;F;3500.00;23.00;28.50;24.00;F;F;F;F;F;F;4.00;1.00;0.00;4.00;T;3500.00;0.95;T;T;T;100.00;100.00;0.00;40.00
1657712361317;27.31;37.81;53.06;36.06;-1.75;-6.19;9.06;-83.92;-83.92;82.17;-2.50;-7.50;T;F;F;3500.00;23.00;28.50;24.00;F;F;F;F;F;F;4.00;1.00;0.00;4.00;T;3500.00;0.95;T;T;T;100.00;100.00;0.00;40.00
1657712361416;27.31;37.81;53.06;36.06;-1.75;-6.19;9.06;-83.92;-83.92;82.17;-2.50;-7.48;T;F;F;3500.00;23.00;28.50;24.00;F;F;F;F;F;F;4.00;1.00;0.00;4.00;T;3500.00;0.95;T;T;T;100.00;100.00;0.00;40.00
1657712361516;27.31;37.81;53.06;36.06;-1.75;-6.19;9.06;-83.92;-83.92;82.17;-2.49;-7.50;T;F;F;3500.00;23.00;28.50;24.00;F;F;F;F;F;F;4.00;1.00;0.00;4.00;T;3500.00;0.95;T;T;T;100.00;100.00;0.00;40.00
1657712361623;27.31;37.81;53.06;36.06;-1.75;-6.19;9.06;-83.92;-83.92;82.17;-2.49;-7.50;T;F;F;3500.00;23.00;28.50;24.00;F;F;F;F;F;F;4.00;1.00;0.00;4.00;T;3500.00;0.95;T;T;T;100.00;100.00;0.00;40.00
1657712361716;27.31;37.81;53.06;36.06;-1.75;-6.19;9.06;-83.92;-83.92;82.36;-2.50;-7.45;T;F;F;3500.00;23.00;28.50;24.00;F;F;F;F;F;F;4.00;1.00;0.00;4.00;T;3500.00;0.95;T;T;T;100.00;100.00;0.00;40.00
1657712361820;27.25;37.81;52.94;36.06;-1.56;-6.12;9.06;-83.92;-83.92;82.36;-2.48;-7.50;T;F;F;3500.00;23.00;28.50;24.00;F;F;F;F;F;F;4.00;1.00;0.00;4.00;T;3500.00;0.95;T;T;T;100.00;100.00;0.00;40.00
1657712361920;27.25;37.81;52.94;36.06;-1.56;-6.12;9.06;-83.92;-83.92;82.36;-2.49;-7.50;T;F;F;3500.00;23.00;28.50;24.00;F;F;F;F;F;F;4.00;1.00;0.00;4.00;T;3500.00;0.95;T;T;T;100.00;100.00;0.00;40.00
1657712362020;27.25;37.81;52.94;36.06;-1.56;-6.12;9.06;-83.92;-83.92;82.36;-2.49;-7.50;T;F;F;3500.00;23.00;28.50;24.00;F;F;F;F;F;F;4.00;1.00;0.00;4.00;T;3500.00;0.95;T;T;T;100.00;100.00;0.00;40.00
1657712362118;27.25;37.81;52.94;36.06;-1.56;-6.12;9.06;-83.92;-83.92;82.36;-2.48;-7.48;T;F;F;3500.00;23.00;28.50;24.00;F;F;F;F;F;F;4.00;1.00;0.00;4.00;T;3500.00;0.95;T;T;T;100.00;100.00;0.00;40.00
1657712362215;27.25;37.81;52.94;36.06;-1.56;-6.12;9.06;-83.92;-83.92;82.36;-2.48;-7.50;T;F;F;3500.00;23.00;28.50;24.00;F;F;F;F;F;F;4.00;1.00;0.00;4.00;T;3500.00;0.95;T;T;T;100.00;100.00;0.00;40.00
1657712362316;27.25;37.81;52.94;36.06;-1.56;-6.12;9.06;-83.92;-83.92;82.36;-2.49;-7.50;T;F;F;3500.00;23.00;28.50;24.00;F;F;F;F;F;F;4.00;1.00;0.00;4.00;T;3500.00;0.95;T;T;T;100.00;100.00;0.00;40.00
1657712362416;27.25;37.81;52.94;36.06;-1.56;-6.12;9.06;-83.92;-83.92;82.36;-2.49;-7.50;T;F;F;3500.00;23.00;28.50;24.00;F;F;F;F;F;F;4.00;1.00;0.00;4.00;T;3500.00;0.95;T;T;T;100.00;100.00;0.00;40.00
1657712362523;27.25;37.81;52.94;36.06;-1.56;-6.12;9.06;-83.92;-83.92;82.36;-2.49;-7.50;T;F;F;3500.00;23.00;28.50;24.00;F;F;F;F;F;F;4.00;1.00;0.00;4.00;T;3500.00;0.95;T;T;T;100.00;100.00;0.00;40.00
1657712362637;27.25;37.81;52.94;36.06;-1.56;-6.12;9.06;-83.92;-83.92;82.36;-2.49;-7.50;T;F;F;3500.00;23.00;28.50;24.00;F;F;F;F;F;F;4.00;1.00;0.00;4.00;T;3500.00;0.95;T;T;T;100.00;100.00;0.00;40.00
1657712362719;27.25;37.81;52.94;36.06;-1.56;-6.12;9.06;-83.92;-83.92;82.54;-2.50;-7.50;T;F;F;3500.00;23.00;28.50;24.00;F;F;F;F;F;F;4.00;1.00;0.00;4.00;T;3500.00;0.95;T;T;T;100.00;100.00;0.00;40.00
1657712362823;27.25;37.81;52.81;36.00;-1.38;-6.12;9.06;-83.92;-83.92;82.54;-2.49;-7.48;T;F;F;3500.00;23.00;28.50;24.00;F;F;F;F;F;F;4.00;1.00;0.00;4.00;T;3500.00;0.95;T;T;T;100.00;100.00;0.00;40.00
1657712362915;27.25;37.81;52.81;36.00;-1.38;-6.12;9.06;-83.92;-83.92;82.54;-2.49;-7.50;T;F;F;3500.00;23.00;28.50;24.00;F;F;F;F;F;F;4.00;1.00;0.00;4.00;T;3500.00;0.95;T;T;T;100.00;100.00;0.00;40.00
1657712363015;27.25;37.81;52.81;36.00;-1.38;-6.12;9.06;-83.92;-83.92;82.54;-2.50;-7.50;T;F;F;3500.00;23.00;28.50;24.00;F;F;F;F;F;F;4.00;1.00;0.00;4.00;T;3500.00;0.95;T;T;T;100.00;100.00;0.00;40.00
1657712363124;27.25;37.81;52.81;36.00;-1.38;-6.12;9.06;-83.92;-83.92;82.54;-2.50;-7.50;T;F;F;3500.00;23.00;28.50;24.00;F;F;F;F;F;F;4.00;1.00;0.00;4.00;T;3500.00;0.95;T;T;T;100.00;100.00;0.00;40.00
1657712363224;27.25;37.81;52.81;36.00;-1.38;-6.12;9.06;-83.92;-83.92;82.54;-2.49;-7.50;T;F;F;3500.00;23.00;28.50;24.00;F;F;F;F;F;F;4.00;1.00;0.00;4.00;T;3500.00;0.95;T;T;T;100.00;100.00;0.00;40.00
1657712363316;27.25;37.81;52.81;36.00;-1.38;-6.12;9.06;-83.92;-83.92;82.54;-2.50;-7.48;T;F;F;3500.00;23.00;28.50;24.00;F;F;F;F;F;F;4.00;1.00;0.00;4.00;T;3500.00;0.95;T;T;T;100.00;100.00;0.00;40.00
1657712363415;27.25;37.81;52.81;36.00;-1.38;-6.12;9.06;-83.92;-83.92;82.54;-2.50;-7.50;T;F;F;3500.00;23.00;28.50;24.00;F;F;F;F;F;F;4.00;1.00;0.00;4.00;T;3500.00;0.95;T;T;T;100.00;100.00;0.00;40.00
1657712363515;27.25;37.81;52.81;36.00;-1.38;-6.12;9.06;-83.92;-83.92;82.54;-2.50;-7.50;T;F;F;3500.00;23.00;28.50;24.00;F;F;F;F;F;F;4.00;1.00;0.00;4.00;T;3500.00;0.95;T;T;T;100.00;100.00;0.00;40.00
